Vcontrol	freq
0.21	1.0023216792
0.21	1.0023332871
0.22	1.0023448996
0.22	1.0023565166
0.22	1.0023681379
0.22	1.0023797637
0.22	1.0023913939
0.22	1.0024030283
0.22	1.0024146671
0.22	1.0024263101
0.22	1.0024379574
0.22	1.0024496088
0.23	1.0024612645
0.23	1.0024729242
0.23	1.0024845880
0.23	1.0024962559
0.23	1.0025079279
0.23	1.0025196038
0.23	1.0025312836
0.23	1.0025429674
0.23	1.0025546551
0.23	1.0025663466
0.24	1.0025780420
0.24	1.0025897411
0.24	1.0026014440
0.24	1.0026131506
0.24	1.0026248608
0.24	1.0026365747
0.24	1.0026482922
0.24	1.0026600133
0.24	1.0026717379
0.24	1.0026834660
0.25	1.0026951976
0.25	1.0027069326
0.25	1.0027186710
0.25	1.0027304128
0.25	1.0027421579
0.25	1.0027539063
0.25	1.0027656579
0.25	1.0027774127
0.25	1.0027891707
0.25	1.0028009319
0.26	1.0028126961
0.26	1.0028244635
0.26	1.0028362338
0.26	1.0028480072
0.26	1.0028597835
0.26	1.0028715627
0.26	1.0028833448
0.26	1.0028951298
0.26	1.0029069176
0.26	1.0029187082
0.27	1.0029305015
0.27	1.0029422975
0.27	1.0029540961
0.27	1.0029658974
0.27	1.0029777013
0.27	1.0029895078
0.27	1.0030013167
0.27	1.0030131282
0.27	1.0030249420
0.27	1.0030367583
0.28	1.0030485770
0.28	1.0030603979
0.28	1.0030722212
0.28	1.0030840467
0.28	1.0030958744
0.28	1.0031077043
0.28	1.0031195364
0.28	1.0031313705
0.28	1.0031432067
0.28	1.0031550449
0.29	1.0031668851
0.29	1.0031787273
0.29	1.0031905713
0.29	1.0032024173
0.29	1.0032142650
0.29	1.0032261146
0.29	1.0032379659
0.29	1.0032498189
0.29	1.0032616736
0.29	1.0032735299
0.30	1.0032853878
0.30	1.0032972473
0.30	1.0033091083
0.30	1.0033209708
0.30	1.0033328347
0.30	1.0033447000
0.30	1.0033565667
0.30	1.0033684347
0.30	1.0033803039
0.30	1.0033921745
0.31	1.0034040462
0.31	1.0034159191
0.31	1.0034277930
0.31	1.0034396681
0.31	1.0034515442
0.31	1.0034634214
0.31	1.0034752995
0.31	1.0034871785
0.31	1.0034990583
0.31	1.0035109391
0.32	1.0035228206
0.32	1.0035347028
0.32	1.0035465858
0.32	1.0035584695
0.32	1.0035703538
0.32	1.0035822387
0.32	1.0035941242
0.32	1.0036060101
0.32	1.0036178966
0.32	1.0036297834
0.33	1.0036416707
0.33	1.0036535583
0.33	1.0036654462
0.33	1.0036773344
0.33	1.0036892228
0.33	1.0037011114
0.33	1.0037130001
0.33	1.0037248889
0.33	1.0037367778
0.33	1.0037486667
0.34	1.0037605555
0.34	1.0037724443
0.34	1.0037843330
0.34	1.0037962215
0.34	1.0038081098
0.34	1.0038199979
0.34	1.0038318857
0.34	1.0038437732
0.34	1.0038556603
0.34	1.0038675470
0.35	1.0038794333
0.35	1.0038913190
0.35	1.0039032042
0.35	1.0039150889
0.35	1.0039269729
0.35	1.0039388563
0.35	1.0039507389
0.35	1.0039626208
0.35	1.0039745019
0.35	1.0039863821
0.36	1.0039982615
0.36	1.0040101399
0.36	1.0040220174
0.36	1.0040338938
0.36	1.0040457692
0.36	1.0040576435
0.36	1.0040695167
0.36	1.0040813886
0.36	1.0040932594
0.36	1.0041051288
0.37	1.0041169969
0.37	1.0041288637
0.37	1.0041407290
0.37	1.0041525929
0.37	1.0041644553
0.37	1.0041763162
0.37	1.0041881754
0.37	1.0042000331
0.37	1.0042118890
0.37	1.0042237432
0.38	1.0042355957
0.38	1.0042474464
0.38	1.0042592951
0.38	1.0042711420
0.38	1.0042829870
0.38	1.0042948299
0.38	1.0043066708
0.38	1.0043185097
0.38	1.0043303464
0.38	1.0043421809
0.39	1.0043540132
0.39	1.0043658432
0.39	1.0043776709
0.39	1.0043894963
0.39	1.0044013193
0.39	1.0044131398
0.39	1.0044249578
0.39	1.0044367733
0.39	1.0044485861
0.39	1.0044603964
0.40	1.0044722040
0.40	1.0044840088
0.40	1.0044958109
0.40	1.0045076101
0.40	1.0045194065
0.40	1.0045312000
0.40	1.0045429905
0.40	1.0045547780
0.40	1.0045665625
0.40	1.0045783438
